StartAngle;EndAngle;Length;Number
0.0;18.0;0.0018161825873516987;11
18.0;36.0;0.005553289176648774;19
36.0;54.0;0.004698440633035269;27
54.0;72.0;0.003624396283180336;20
72.0;90.0;0.0058287944153513375;28
90.0;108.0;0.006953553875795759;39
108.0;126.0;0.010297616267800458;48
126.0;144.0;0.004723704413256521;20
144.0;162.0;0.0035463736510143616;21
162.0;180.0;0.00450922664177852;14
